,sentence,word,sym,sem,sns
8483, p43/d2299,.,.,NIL,O
8484, p07/d2770,This,this,PRX,O
8485, p07/d2770,restaurant,restaurant,CON,restaurant.n.01
8486, p07/d2770,is,be,NOW,O
8487, p07/d2770,located,located,IST,located.a.01
8488, p07/d2770,on,on,REL,O
8489, p07/d2770,the,the,DEF,O
8490, p07/d2770,riverbed,riverbed,CON,riverbed.n.01
8491, p07/d2770,.,.,NIL,O
8492, p55/d2359,The,the,DEF,O
8493, p55/d2359,wind,wind,CON,wind.n.01
8494, p55/d2359,howled,howl,EPS,howl.v.03
8495, p55/d2359,.,.,NIL,O
8496, p78/d3454,Tom,tom,PER,male.n.02
8497, p78/d3454,passed,pass~away,EPS,pass_away.v.01
8498, p78/d3454,away,away,REL,O
8499, p78/d3454,three,3,QUC,O
8500, p78/d3454,years,year,UOM,year.n.01
8501, p78/d3454,ago,ago,PST,O
8502, p78/d3454,.,.,NIL,O
8503, p38/d1908,He,male,PRO,male.n.02
8504, p38/d1908,slapped,slap,EPS,slap.v.01
8505, p38/d1908,my,speaker,HAS,O
8506, p38/d1908,ass,ass,CON,ass.n.01
8507, p38/d1908,.,.,NIL,O
8508, p03/d0716,Charles~de~Gaulle,charles~de~gaulle,PER,male.n.02
8509, p03/d0716,died,die,EPS,die.v.01
8510, p03/d0716,in,in,REL,O
8511, p03/d0716,1970,1970,YOC,O
8512, p03/d0716,.,.,NIL,O
8513, p05/d3078,I,speaker,PRO,O
8514, p05/d3078,paid,pay,EPS,pay.v.01
8515, p05/d3078,for,for,REL,O
8516, p05/d3078,these,entity,PRX,O
8517, p05/d3078,tickets,ticket,CON,ticket.n.01
8518, p05/d3078,.,.,NIL,O
8519, p92/d1404,I,speaker,PRO,O
8520, p92/d1404,have,have,NOW,O
8521, p92/d1404,seen,see,EXT,see.v.07
8522, p92/d1404,loads,+,QUV,O
8523, p92/d1404,of,of,REL,O
8524, p92/d1404,concerts,concert,CON,concert.n.01
8525, p92/d1404,.,.,NIL,O
8526, p05/d2493,All,person,AND,person.n.01
8527, p05/d2493,of,of,REL,O
8528, p05/d2493,us,speaker,PRO,O
8529, p05/d2493,speak,speak,ENS,speak.v.03
8530, p05/d2493,French,french,CON,french.n.01
8531, p05/d2493,.,.,NIL,O
8532, p03/d1869,The,the,DEF,O
8533, p03/d1869,convention,convention,CON,convention.n.01
8534, p03/d1869,voted,vote,EPS,vote.v.01
8535, p03/d1869,again,again,ALT,O
8536, p03/d1869,.,.,NIL,O
8537, p94/d1390,How,manner,QUE,manner.n.01
8538, p94/d1390,did,do,PST,O
8539, p94/d1390,Vitas~Gerulaitis,vitas~gerulaitis,PER,male.n.02
8540, p94/d1390,die,die,EXS,die.v.01
8541, p94/d1390,?,?,QUE,O
8542, p88/d1472,I,speaker,PRO,O
8543, p88/d1472,'m,be,NOW,O
8544, p88/d1472,happy,happy,IST,happy.a.01
8545, p88/d1472,with,with,REL,O
8546, p88/d1472,it,entity,PRO,entity.n.01
8547, p88/d1472,.,.,NIL,O
8548, p34/d1606,I,speaker,PRO,O
8549, p34/d1606,got,get~into,EPS,get_into.v.02
8550, p34/d1606,into,into,REL,O
8551, p34/d1606,a,a,DIS,O
8552, p34/d1606,traffic~jam,traffic~jam,CON,traffic_jam.n.01
8553, p34/d1606,on,on,REL,O
8554, p34/d1606,the,the,DEF,O
8555, p34/d1606,expressway,expressway,CON,expressway.n.01
8556, p34/d1606,.,.,NIL,O
8557, p85/d0933,She,female,PRO,female.n.02
8558, p85/d0933,is,be,NOW,O
8559, p85/d0933,buying,buy,EXG,buy.v.01
8560, p85/d0933,a,a,DIS,O
8561, p85/d0933,toy,toy,CON,toy.n.01
8562, p85/d0933,for,for,REL,O
8563, p85/d0933,her,female,HAS,female.n.02
8564, p85/d0933,child,child,ROL,child.n.02
8565, p85/d0933,.,.,NIL,O
8566, p87/d1551,He,male,PRO,male.n.02
8567, p87/d1551,kicked,kick,EPS,kick.v.01
8568, p87/d1551,the,the,DEF,O
8569, p87/d1551,ball,ball,CON,ball.n.01
8570, p87/d1551,.,.,NIL,O
8571, p75/d1892,He,male,PRO,male.n.02
8572, p75/d1892,arrived,arrive,EPS,arrive.v.01
8573, p75/d1892,at,at,REL,O
8574, p75/d1892,midnight,00:00,CLO,O
8575, p75/d1892,.,.,NIL,O
8576, p58/d0892,I,speaker,PRO,O
8577, p58/d0892,'m,be,NOW,O
8578, p58/d0892,not,not,NOT,O
8579, p58/d0892,afraid,afraid,IST,afraid.a.01
8580, p58/d0892,at~all,at~all,EMP,O
8581, p58/d0892,.,.,NIL,O
8582, p33/d1611,Melanie,melanie,PER,female.n.02
8583, p33/d1611,waved,wave,EPS,wave.v.01
8584, p33/d1611,her,female,HAS,female.n.02
8585, p33/d1611,hand,hand,CON,hand.n.01
8586, p33/d1611,.,.,NIL,O
8587, p93/d1524,I,speaker,PRO,O
8588, p93/d1524,stared,stare,EPS,stare.v.01
8589, p93/d1524,at,at,REL,O
8590, p93/d1524,the,the,DEF,O
8591, p93/d1524,man,man,CON,man.n.01
8592, p93/d1524,.,.,NIL,O
8593, p03/d2082,The,the,DEF,O
8594, p03/d2082,boy,boy,CON,boy.n.01
8595, p03/d2082,entered,enter,EPS,enter.v.01
8596, p03/d2082,by,by,REL,O
8597, p03/d2082,the,the,DEF,O
8598, p03/d2082,back~door,back~door,CON,back_door.n.03
8599, p03/d2082,.,.,NIL,O
8600, p23/d1394,What,entity,QUE,entity.n.01
8601, p23/d1394,is,be,ENS,be.v.02
8602, p23/d1394,Barbie,barbie,PER,female.n.02
8603, p23/d1394,'s,'s,HAS,O
8604, p23/d1394,full,full,IST,full.a.03
8605, p23/d1394,name,name,CON,name.n.01
8606, p23/d1394,?,?,QUE,O
8607, p76/d3294,The,the,DEF,O
8608, p76/d3294,hotel,hotel,CON,hotel.n.01
8609, p76/d3294,burned,burn~down,EPS,burn_down.v.01
8610, p76/d3294,down,down,REL,O
8611, p76/d3294,.,.,NIL,O
8612, p89/d2268,Tom,tom,PER,male.n.02
8613, p89/d2268,used,use,PST,O
8614, p89/d2268,to,to,NIL,O
8615, p89/d2268,hate,hate,EXS,hate.v.01
8616, p89/d2268,Boston,boston,GPE,city.n.01
8617, p89/d2268,.,.,NIL,O
8618, p97/d1450,The,the,DEF,O
8619, p97/d1450,score,score,CON,score.n.03
8620, p97/d1450,is,be,ENS,be.v.06
8621, p97/d1450,1-0,1-0,SCO,O
8622, p97/d1450,.,.,NIL,O
8623, p67/d2669,She,female,PRO,female.n.02
8624, p67/d2669,grabbed,grab,EPS,grab.v.05
8625, p67/d2669,him,male,PRO,male.n.02
8626, p67/d2669,by,by,REL,O
8627, p67/d2669,the,the,DEF,O
8628, p67/d2669,hand,hand,CON,hand.n.01
8629, p67/d2669,and,and,COO,O
8630, p67/d2669,pulled,pull,EPS,O
8631, p67/d2669,him,male,PRO,male.n.02
8632, p67/d2669,onto,onto,REL,O
8633, p67/d2669,the,the,DEF,O
8634, p67/d2669,boat,boat,CON,boat.n.01
8635, p67/d2669,.,.,NIL,O
8636, p24/d0810,It,it,NIL,O
8637, p24/d0810,is,be,NOW,O
8638, p24/d0810,snowing,snow,EXG,snow.v.01
8639, p24/d0810,now,now,NOW,O
8640, p24/d0810,.,.,NIL,O
8641, p13/d3220,You,hearer,PRO,O
8642, p13/d3220,dialed,dial,EPS,dial.v.02
8643, p13/d3220,the,the,DEF,O
8644, p13/d3220,wrong,wrong,IST,wrong.a.01
8645, p13/d3220,number,number,CON,number.n.04
8646, p13/d3220,.,.,NIL,O
8647, p92/d3199,They,person,PRO,person.n.01
8648, p92/d3199,call,call,ENS,call.v.01
8649, p92/d3199,Robert,robert,PER,male.n.02
8650, p92/d3199,"""","""",NIL,O
8651, p92/d3199,Bob,bob,LIT,O
8652, p92/d3199,"""","""",NIL,O
8653, p92/d3199,.,.,NIL,O
8654, p32/d1912,She,female,PRO,female.n.02
8655, p32/d1912,looks,look~down~on,ENS,look_down_on.v.01
8656, p32/d1912,down,down,REL,O
8657, p32/d1912,on,on,REL,O
8658, p32/d1912,people,person,CON,person.n.01
8659, p32/d1912,who,who,AND,O
8660, p32/d1912,are,be,NOW,O
8661, p32/d1912,idle,idle,IST,idle.a.01
8662, p32/d1912,.,.,NIL,O
8663, p14/d0058,Two,2,QUC,O
8664, p14/d0058,cubs,cub,CON,cub.n.03
8665, p14/d0058,are,be,NOW,O
8666, p14/d0058,playing,play,EXG,play.v.05
8667, p03/d1814,He,male,PRO,male.n.02
8668, p03/d1814,hammered,hammer,EPS,hammer.v.01
8669, p03/d1814,nails,nail,CON,nail.n.02
8670, p03/d1814,into,into,REL,O
8671, p03/d1814,the,the,DEF,O
8672, p03/d1814,plank,plank,CON,plank.n.01
8673, p03/d1814,.,.,NIL,O
8674, p89/d3256,I,speaker,PRO,O
8675, p89/d3256,need,need,ENS,need.v.02
8676, p89/d3256,a,a,DIS,O
8677, p89/d3256,vacation,vacation,CON,vacation.n.01
8678, p89/d3256,.,.,NIL,O
8679, p13/d2350,Tom,tom,PER,male.n.02
8680, p13/d2350,flinched,flinch,EPS,flinch.v.01
8681, p13/d2350,.,.,NIL,O
8682, p35/d0913,She,female,PRO,female.n.02
8683, p35/d0913,is,be,NOW,O
8684, p35/d0913,Japanese,japan,GPO,country.n.02
8685, p35/d0913,.,.,NIL,O
8686, p78/d1839,He,male,PRO,male.n.02
8687, p78/d1839,resented,resent,EPS,resent.v.01
8688, p78/d1839,that,that,SUB,O
8689, p78/d1839,she,female,PRO,female.n.02
8690, p78/d1839,was,be,PST,O
8691, p78/d1839,dating,date,EXG,date.v.01
8692, p78/d1839,his,male,HAS,male.n.02
8693, p78/d1839,brother,brother,ROL,brother.n.01
8694, p78/d1839,.,.,NIL,O
8695, p77/d2957,Tom,tom,PER,male.n.02
8696, p77/d2957,wo,will,FUT,O
8697, p77/d2957,n't,not,NOT,O
8698, p77/d2957,go,go,EXS,go.v.03
8699, p77/d2957,",",",",NIL,O
8700, p77/d2957,will,will,FUT,O
8701, p77/d2957,he,male,PRO,male.n.02
8702, p77/d2957,?,?,QUE,O
8703, p55/d2100,Abrams,abrams,PER,male.n.02
8704, p55/d2100,handed,hand,EPS,hand.v.01
8705, p55/d2100,Browne,browne,PER,male.n.02
8706, p55/d2100,the,the,DEF,O
8707, p55/d2100,cigarette,cigarette,CON,cigarette.n.01
8708, p55/d2100,.,.,NIL,O
8709, p03/d1830,The,the,DEF,O
8710, p03/d1830,medicine,medicine,CON,medicine.n.02
8711, p03/d1830,cured,cure,EPS,cure.v.01
8712, p03/d1830,him,male,PRO,male.n.02
8713, p03/d1830,of,of,REL,O
8714, p03/d1830,his,male,HAS,male.n.02
8715, p03/d1830,illness,illness,CON,illness.n.01
8716, p03/d1830,.,.,NIL,O
8717, p63/d3424,He,male,PRO,male.n.02
8718, p63/d3424,need,need,NEC,O
8719, p63/d3424,not,not,NOT,O
8720, p63/d3424,have,have,NOW,O
8721, p63/d3424,called,call,EXT,call.v.05
8722, p63/d3424,a,a,DIS,O
8723, p63/d3424,taxi,taxi,CON,taxi.n.01
8724, p63/d3424,.,.,NIL,O
8725, p45/d1437,He,male,PRO,male.n.02
8726, p45/d1437,sidestepped,sidestep,EPS,sidestep.v.01
8727, p45/d1437,the,the,DEF,O
8728, p45/d1437,question,question,CON,question.n.03
8729, p45/d1437,.,.,NIL,O
8730, p18/d0951,I,speaker,PRO,O
8731, p18/d0951,gave,give,EPS,give.v.01
8732, p18/d0951,Tom,tom,PER,male.n.02
8733, p18/d0951,a,a,DIS,O
8734, p18/d0951,sedative,sedative,CON,sedative.n.01
8735, p18/d0951,.,.,NIL,O
8736, p04/d2514,I,speaker,PRO,O
8737, p04/d2514,sacked,sack,EPS,sack.v.02
8738, p04/d2514,him,male,PRO,male.n.02
8739, p04/d2514,.,.,NIL,O
8740, p42/d2090,I,speaker,PRO,O
8741, p42/d2090,'m,be,NOW,O
8742, p42/d2090,angry,angry,IST,angry.a.01
8743, p42/d2090,because,because,SUB,O
8744, p42/d2090,someone,person,DIS,person.n.01
8745, p42/d2090,stole,steal,EPS,steal.v.01
8746, p42/d2090,my,speaker,HAS,O
8747, p42/d2090,bicycle,bicycle,CON,bicycle.n.01
8748, p42/d2090,.,.,NIL,O
8749, p48/d2727,Lincoln,lincoln,PER,male.n.02
8750, p48/d2727,was,be,PST,O
8751, p48/d2727,assassinated,assassinate,EXS,assassinate.v.01
8752, p48/d2727,in,in,REL,O
8753, p48/d2727,1865,1865,YOC,O
8754, p48/d2727,.,.,NIL,O
8755, p44/d1998,The,the,DEF,O
8756, p44/d1998,squirrel,squirrel,CON,squirrel.n.01
8757, p44/d1998,ate,eat,EPS,eat.v.01
8758, p44/d1998,out~of,out~of,REL,O
8759, p44/d1998,her,female,HAS,female.n.02
8760, p44/d1998,hand,hand,CON,hand.n.01
8761, p44/d1998,.,.,NIL,O
8762, p15/d2866,Ken,ken,PER,male.n.02
8763, p15/d2866,despises,despise,ENS,despise.v.01
8764, p15/d2866,Tom,tom,PER,male.n.02
8765, p15/d2866,.,.,NIL,O
8766, p06/d1733,It,it,NIL,O
8767, p06/d1733,was,be,PST,O
8768, p06/d1733,raining,rain,EXG,rain.v.01
8769, p06/d1733,.,.,NIL,O
8770, p62/d2982,She,female,PRO,female.n.02
8771, p62/d2982,grabbed,grab,EPS,grab.v.05
8772, p62/d2982,my,speaker,HAS,O
8773, p62/d2982,hand,hand,CON,hand.n.01
8774, p62/d2982,.,.,NIL,O
8775, p28/d1707,The,the,DEF,O
8776, p28/d1707,pidgeon,pigeon,CON,pigeon.n.01
8777, p28/d1707,coos,coo,ENS,coo.v.02
8778, p28/d1707,.,.,NIL,O
8779, p02/d3335,This,this,PRX,O
8780, p02/d3335,painting,painting,CON,painting.n.01
8781, p02/d3335,by,by,REL,O
8782, p02/d3335,Rembrandt,rembrandt,PER,male.n.02
8783, p02/d3335,is,be,ENS,be.v.01
8784, p02/d3335,a,a,DIS,O
8785, p02/d3335,masterpiece,masterpiece,CON,masterpiece.n.01
8786, p02/d3335,.,.,NIL,O
8787, p33/d0877,Indonesia,indonesia,GPE,country.n.02
8788, p33/d0877,consists,consist,ENS,consist.v.04
8789, p33/d0877,of,of,REL,O
8790, p33/d0877,many,+,QUV,O
8791, p33/d0877,islands,island,CON,island.n.01
8792, p33/d0877,and,and,GRP,O
8793, p33/d0877,two,2,QUC,O
8794, p33/d0877,peninsulas,peninsula,CON,peninsula.n.01
8795, p33/d0877,.,.,NIL,O
8796, p06/d2543,Tom,tom,PER,male.n.02
8797, p06/d2543,is,be,NOW,O
8798, p06/d2543,sobbing,sob,EXG,sob.v.01
8799, p06/d2543,.,.,NIL,O
8800, p44/d1471,I,speaker,PRO,O
8801, p44/d1471,do,do,NOW,O
8802, p44/d1471,n't,not,NOT,O
8803, p44/d1471,speak,speak,EXS,speak.v.03
8804, p44/d1471,Spanish,spanish,CON,spanish.n.01
8805, p44/d1471,.,.,NIL,O
8806, p94/d0759,Berlinguer,berlinguer,PER,male.n.02
8807, p94/d0759,succeeded,succeed,EPS,succeed.v.02
8808, p94/d0759,Natta,natta,PER,male.n.02
8809, p94/d0759,.,.,NIL,O
8810, p84/d2401,The,the,DEF,O
8811, p84/d2401,man,man,CON,man.n.01
8812, p84/d2401,begged,beg,EPS,beg.v.03
8813, p84/d2401,me,speaker,PRO,O
8814, p84/d2401,for,for,REL,O
8815, p84/d2401,money,money,CON,money.n.01
8816, p84/d2401,.,.,NIL,O
8817, p02/d0932,I,speaker,PRO,O
8818, p02/d0932,just,just,IST,O
8819, p02/d0932,received,receive,EPS,receive.v.01
8820, p02/d0932,your,hearer,HAS,O
8821, p02/d0932,letter,letter,CON,letter.n.01
8822, p02/d0932,.,.,NIL,O
8823, p05/d1480,He,male,PRO,male.n.02
8824, p05/d1480,hugged,hug,EPS,hug.v.01
8825, p05/d1480,her,female,PRO,female.n.02
8826, p05/d1480,tightly,tightly,IST,tightly.r.01
8827, p05/d1480,.,.,NIL,O
8828, p82/d1922,He,male,PRO,male.n.02
8829, p82/d1922,is,be,NOW,O
8830, p82/d1922,fond,fond,IST,fond.a.03
8831, p82/d1922,of,of,REL,O
8832, p82/d1922,playing,play,EXG,play.v.01
8833, p82/d1922,tennis,tennis,CON,tennis.n.01
8834, p82/d1922,.,.,NIL,O
8835, p83/d1556,The,the,DEF,O
8836, p83/d1556,robber,robber,ROL,robber.n.01
8837, p83/d1556,emerged,emerge,EPS,emerge.v.01
8838, p83/d1556,from,from,REL,O
8839, p83/d1556,the,the,DEF,O
8840, p83/d1556,darkness,darkness,CON,darkness.n.02
8841, p83/d1556,.,.,NIL,O
8842, p69/d2289,She,female,PRO,female.n.02
8843, p69/d2289,'s,be,NIL,O
8844, p69/d2289,gonna,gonna,FUT,O
8845, p69/d2289,kill,kill,EXS,O
8846, p69/d2289,me,speaker,PRO,O
8847, p69/d2289,.,.,NIL,O
8848, p24/d2303,He,male,PRO,male.n.02
8849, p24/d2303,blackmailed,blackmail,EPS,blackmail.v.01
8850, p24/d2303,me,speaker,PRO,O
8851, p24/d2303,.,.,NIL,O
8852, p34/d1645,My,speaker,HAS,O
8853, p34/d1645,feet,foot,CON,foot.n.01
8854, p34/d1645,are,be,NOW,O
8855, p34/d1645,swollen,swell,EXS,swell.v.03
8856, p34/d1645,.,.,NIL,O
8857, p18/d2557,Tom,tom,PER,male.n.02
8858, p18/d2557,is,be,NOW,O
8859, p18/d2557,groggy,groggy,IST,groggy.a.01
8860, p18/d2557,.,.,NIL,O
8861, p83/d3410,Tom,tom,PER,male.n.02
8862, p83/d3410,broke,break~in,EPS,break_in.v.01
8863, p83/d3410,in,in,REL,O
8864, p83/d3410,.,.,NIL,O
8865, p37/d0950,Mike,mike,PER,male.n.02
8866, p37/d0950,named,name,EPS,name.v.01
8867, p37/d0950,his,male,HAS,male.n.02
8868, p37/d0950,dog,dog,CON,dog.n.01
8869, p37/d0950,Spike,spike,LIT,O
8870, p37/d0950,.,.,NIL,O
8871, p56/d0785,Where,location,QUE,location.n.01
8872, p56/d0785,'s,be,ENS,be.v.03
8873, p56/d0785,the,the,DEF,O
8874, p56/d0785,bus~stop,bus~stop,CON,bus_stop.n.01
8875, p56/d0785,?,?,QUE,O
8876, p07/d3113,Tom,tom,PER,male.n.02
8877, p07/d3113,stabbed,stab,EPS,stab.v.02
8878, p07/d3113,Mary,mary,PER,female.n.02
8879, p07/d3113,with,with,REL,O
8880, p07/d3113,a,a,DIS,O
8881, p07/d3113,knife,knife,CON,knife.n.02
8882, p07/d3113,.,.,NIL,O
8883, p89/d2599,I,speaker,PRO,O
8884, p89/d2599,do,do,NOW,O
8885, p89/d2599,n't,not,NOT,O
8886, p89/d2599,recognize,recognize,EXS,recognize.v.04
8887, p89/d2599,this,this,PRX,O
8888, p89/d2599,shirt,shirt,CON,shirt.n.01
8889, p89/d2599,.,.,NIL,O
8890, p89/d2599,Whose,person,HAS,person.n.01
8891, p89/d2599,is,be,ENS,be.v.02
8892, p89/d2599,it,entity,PRO,entity.n.01
8893, p89/d2599,?,?,QUE,O
8894, p86/d2159,Tom,tom,PER,male.n.02
8895, p86/d2159,was,be,PST,O
8896, p86/d2159,eaten,eat,EXS,eat.v.01
8897, p86/d2159,by,by,REL,O
8898, p86/d2159,a,a,DIS,O
8899, p86/d2159,tiger,tiger,CON,tiger.n.02
8900, p86/d2159,.,.,NIL,O
8901, p07/d3231,Mary,mary,PER,female.n.02
8902, p07/d3231,punched,punch,EPS,punch.v.01
8903, p07/d3231,Tom,tom,PER,male.n.02
8904, p07/d3231,in,in,REL,O
8905, p07/d3231,the,the,DEF,O
8906, p07/d3231,face,face,CON,face.n.01
8907, p07/d3231,.,.,NIL,O
8908, p27/d1961,Tom,tom,PER,male.n.02
8909, p27/d1961,is,be,NOW,O
8910, p27/d1961,kissing,kiss,EXG,kiss.v.01
8911, p27/d1961,Mary,mary,PER,female.n.02
8912, p27/d1961,.,.,NIL,O
8913, p57/d3364,Dan,dan,PER,male.n.02
8914, p57/d3364,began,begin,EPS,begin.v.01
8915, p57/d3364,displaying,display,EXG,display.v.01
8916, p57/d3364,symptoms,symptom,CON,symptom.n.01
8917, p57/d3364,of,of,REL,O
8918, p57/d3364,Alzheimer's,alzheimer's,CON,alzheimer's.n.01
8919, p57/d3364,.,.,NIL,O
8920, p38/d1782,She,female,PRO,female.n.02
8921, p38/d1782,'s,be,NOW,O
8922, p38/d1782,addicted,addicted,IST,addicted.a.01
8923, p38/d1782,to,to,REL,O
8924, p38/d1782,drugs,drug,CON,drug.n.01
8925, p38/d1782,.,.,NIL,O
8926, p17/d2875,I,speaker,PRO,O
8927, p17/d2875,planted,plant,EPS,plant.v.01
8928, p17/d2875,roses,rose,CON,rose.n.01
8929, p17/d2875,in,in,REL,O
8930, p17/d2875,the,the,DEF,O
8931, p17/d2875,garden,garden,CON,garden.n.01
8932, p17/d2875,.,.,NIL,O
8933, p32/d3310,He,male,PRO,male.n.02
8934, p32/d3310,lent,lend,EPS,lend.v.02
8935, p32/d3310,me,speaker,PRO,O
8936, p32/d3310,two,2,QUC,O
8937, p32/d3310,books,book,CON,book.n.02
8938, p32/d3310,.,.,NIL,O
8939, p69/d0934,I,speaker,PRO,O
8940, p69/d0934,have,have,ENS,have.v.12
8941, p69/d0934,a,a,DIS,O
8942, p69/d0934,stomach~ache,stomach~ache,CON,stomach_ache.n.01
8943, p69/d0934,.,.,NIL,O
8944, p56/d1391,For,for,REL,O
8945, p56/d1391,which,entity,QUE,entity.n.01
8946, p56/d1391,company,company,CON,company.n.01
8947, p56/d1391,does,do,NOW,O
8948, p56/d1391,Sid~Gregory,sid~gregory,PER,male.n.02
8949, p56/d1391,work,work,EXS,work.v.02
8950, p56/d1391,?,?,QUE,O
8951, p56/d1924,Tom,tom,PER,male.n.02
8952, p56/d1924,returned,return,EPS,return.v.01
8953, p56/d1924,to,to,REL,O
8954, p56/d1924,the,the,DEF,O
8955, p56/d1924,witness~stand,witness~stand,CON,witness_stand.n.01
8956, p56/d1924,.,.,NIL,O
8957, p45/d2855,Tom,tom,PER,male.n.02
8958, p45/d2855,is,be,NOW,O
8959, p45/d2855,skinny,skinny,IST,skinny.a.01
8960, p45/d2855,.,.,NIL,O
8961, p27/d0932,I,speaker,PRO,O
8962, p27/d0932,bought,buy,EPS,buy.v.01
8963, p27/d0932,a,a,DIS,O
8964, p27/d0932,Microsoft,microsoft,ORG,company.n.01
8965, p27/d0932,mouse,mouse,CON,mouse.n.04
8966, p27/d0932,.,.,NIL,O
8967, p06/d1493,She,female,PRO,female.n.02
8968, p06/d1493,gave,give,EPS,give.v.24
8969, p06/d1493,a,a,DIS,O
8970, p06/d1493,cat,cat,CON,cat.n.01
8971, p06/d1493,some,some,DIS,O
8972, p06/d1493,milk,milk,CON,milk.n.01
8973, p06/d1493,.,.,NIL,O
8974, p67/d1777,That,that,DST,O
8975, p67/d1777,man,man,CON,man.n.01
8976, p67/d1777,died,die,EPS,die.v.01
8977, p67/d1777,of,of,REL,O
8978, p67/d1777,lung~cancer,lung~cancer,CON,lung_cancer.n.01
8979, p67/d1777,a,a,DIS,O
8980, p67/d1777,week,week,UOM,week.n.01
8981, p67/d1777,ago,ago,PST,O
8982, p67/d1777,.,.,NIL,O
8983, p52/d1407,I,speaker,PRO,O
8984, p52/d1407,have,have,NOW,O
8985, p52/d1407,broken,break,EXT,break.v.05
8986, p52/d1407,my,speaker,HAS,O
8987, p52/d1407,favourite,favourite,TOP,favourite.a.02
8988, p52/d1407,bracelet,bracelet,CON,bracelet.n.02
8989, p52/d1407,.,.,NIL,O
8990, p26/d0936,I,speaker,PRO,O
8991, p26/d0936,live,live,ENS,live.v.01
8992, p26/d0936,near,near,APX,O
8993, p26/d0936,the,the,DEF,O
8994, p26/d0936,dike,dike,CON,dike.n.02
8995, p26/d0936,.,.,NIL,O
8996, p49/d1795,I,speaker,PRO,O
8997, p49/d1795,used,use,PST,O
8998, p49/d1795,to,to,NIL,O
8999, p49/d1795,type,type,EXS,type.v.01
9000, p49/d1795,my,speaker,HAS,O
9001, p49/d1795,letters,letter,CON,letter.n.01
9002, p49/d1795,",",",",NIL,O
9003, p49/d1795,but,but,BUT,O
9004, p49/d1795,now,now,NOW,O
9005, p49/d1795,I,speaker,PRO,O
9006, p49/d1795,use,use,ENS,use.v.01
9007, p49/d1795,a,a,DIS,O
9008, p49/d1795,word~processor,word~processor,CON,word_processor.n.01
9009, p49/d1795,.,.,NIL,O
9010, p53/d2829,Tom,tom,PER,male.n.02
9011, p53/d2829,is,be,NOW,O
9012, p53/d2829,plucking,pluck,EXG,pluck.v.05
9013, p53/d2829,a,a,DIS,O
9014, p53/d2829,chicken,chicken,CON,chicken.n.02
9015, p53/d2829,.,.,NIL,O
9016, p65/d0819,I,speaker,PRO,O
9017, p65/d0819,tried,try,EPS,try.v.01
9018, p65/d0819,again~and~again,again~and~again,ALT,O
9019, p65/d0819,.,.,NIL,O
9020, p94/d3255,Tom,tom,PER,male.n.02
9021, p94/d3255,is,be,NOW,O
9022, p94/d3255,embarrassed,embarrassed,IST,embarrassed.a.01
9023, p94/d3255,about,about,REL,O
9024, p94/d3255,buying,buy,EXG,buy.v.01
9025, p94/d3255,condoms,condom,CON,condom.n.01
9026, p94/d3255,.,.,NIL,O
9027, p58/d3198,He,male,PRO,male.n.02
9028, p58/d3198,sold,sell,EPS,sell.v.01
9029, p58/d3198,all,entity,DIS,entity.n.01
9030, p58/d3198,that,that,IMP,O
9031, p58/d3198,he,male,PRO,male.n.02
9032, p58/d3198,owned,own,EPS,own.v.01
9033, p58/d3198,.,.,NIL,O
9034, p22/d3088,He,male,PRO,male.n.02
9035, p22/d3088,hit,hit,EPS,hit.v.03
9036, p22/d3088,me,speaker,PRO,O
9037, p22/d3088,twice,2,QUC,O
9038, p22/d3088,.,.,NIL,O
9039, p25/d3453,Salvador~Dalí,salvador~dalí,PER,male.n.02
9040, p25/d3453,was,be,EPS,be.v.08
9041, p25/d3453,a,a,DIS,O
9042, p25/d3453,Spanish,spain,GPO,country.n.02
9043, p25/d3453,artist,artist,ROL,artist.n.01
9044, p25/d3453,.,.,NIL,O
9045, p05/d3516,We,speaker,PRO,O
9046, p05/d3516,elected,elect,EPS,elect.v.01
9047, p05/d3516,him,male,PRO,male.n.02
9048, p05/d3516,president,president,CON,president.n.01
9049, p05/d3516,.,.,NIL,O
9050, p07/d2526,His,male,HAS,male.n.02
9051, p07/d2526,biceps,biceps,CON,biceps.n.01
9052, p07/d2526,are,be,NOW,O
9053, p07/d2526,huge,huge,IST,huge.a.01
9054, p07/d2526,.,.,NIL,O
9055, p02/d2820,The,the,DEF,O
9056, p02/d2820,greengrocer,greengrocer,ROL,greengrocer.n.01
9057, p02/d2820,is,be,NOW,O
9058, p02/d2820,very,very,INT,very.r.01
9059, p02/d2820,kind,kind,IST,kind.a.01
9060, p02/d2820,to,to,REL,O
9061, p02/d2820,his,male,HAS,male.n.02
9062, p02/d2820,customers,customer,ROL,customer.n.01
9063, p02/d2820,.,.,NIL,O
9064, p87/d2385,I,speaker,PRO,O
9065, p87/d2385,dreamed,dream,EPS,dream.v.02
9066, p87/d2385,I,speaker,PRO,O
9067, p87/d2385,was,be,PST,O
9068, p87/d2385,eating,eat,EXG,eat.v.01
9069, p87/d2385,an,an,DIS,O
9070, p87/d2385,apple~pie,apple~pie,CON,apple_pie.n.01
9071, p87/d2385,.,.,NIL,O
9072, p37/d2540,The,the,DEF,O
9073, p37/d2540,car,car,CON,car.n.01
9074, p37/d2540,hit,hit,EPS,hit.v.02
9075, p37/d2540,a,a,DIS,O
9076, p37/d2540,telephone~pole,telephone~pole,CON,telephone_pole.n.01
