,sentence,word,sense,context,sym_context,sem_context,sns_context
550, p00/d0781,door,door.n.01,"['at', 'the', 'door', 'and', 'waited']","['at', 'the', 'door', 'and', 'wait']","['REL', 'DEF', 'CON', 'AND', 'EPS']","['O', 'O', 'door.n.01', 'O', 'wait.v.01']"
551, p00/d0781,waited,wait.v.01,"['door', 'and', 'waited', '.']","['door', 'and', 'wait', '.']","['CON', 'AND', 'EPS', 'NIL']","['door.n.01', 'O', 'wait.v.01', 'O']"
552, p20/d3269,baffled,baffled.a.01,"['I', 'am', 'baffled', '.']","['speaker', 'be', 'baffled', '.']","['PRO', 'NOW', 'IST', 'NIL']","['O', 'O', 'baffled.a.01', 'O']"
553, p30/d1322,room,room.n.01,"['A', 'room', '.']","['a', 'room', '.']","['DIS', 'CON', 'NIL']","['O', 'room.n.01', 'O']"
554, p10/d1501,owe,owe.v.03,"['I', 'owe', 'him', '1,000']","['speaker', 'owe', 'male', '1000']","['PRO', 'ENS', 'PRO', 'QUC']","['O', 'owe.v.03', 'male.n.02', 'O']"
555, p10/d1501,him,male.n.02,"['I', 'owe', 'him', '1,000', 'dollars']","['speaker', 'owe', 'male', '1000', 'dollar']","['PRO', 'ENS', 'PRO', 'QUC', 'UOM']","['O', 'owe.v.03', 'male.n.02', 'O', 'dollar.n.01']"
556, p10/d1501,dollars,dollar.n.01,"['him', '1,000', 'dollars', '.']","['male', '1000', 'dollar', '.']","['PRO', 'QUC', 'UOM', 'NIL']","['male.n.02', 'O', 'dollar.n.01', 'O']"
557, p00/d2718,Tom,male.n.02,"['Tom', 'ca', ""n't""]","['tom', 'can', 'not', 'tom', 'can', 'not']","['PER', 'POS', 'NOT', 'PER', 'POS', 'NOT']","['male.n.02', 'O', 'O', 'male.n.02', 'O', 'O']"
558, p00/d2718,speak,speak.v.03,"['ca', ""n't"", 'speak', 'French', '.']","['can', 'not', 'speak', 'french', '.', 'can', 'not', 'speak', '.']","['POS', 'NOT', 'EXS', 'CON', 'NIL', 'POS', 'NOT', 'EXS', 'NIL']","['O', 'O', 'speak.v.03', 'french.n.01', 'O', 'O', 'O', 'speak.v.03', 'O']"
559, p00/d2718,French,french.n.01,"[""n't"", 'speak', 'French', '.', 'Tom']","['tom', 'not', 'speak', 'french', '.', 'tom', 'not', 'speak', '.']","['PER', 'NOT', 'EXS', 'CON', 'NIL', 'PER', 'NOT', 'EXS', 'NIL']","['male.n.02', 'O', 'speak.v.03', 'french.n.01', 'O', 'male.n.02', 'O', 'speak.v.03', 'O']"
560, p00/d2718,Tom,male.n.02,"['French', '.', 'Tom', 'ca', ""n't""]","['tom', 'can', 'not', 'french', '.', 'tom', 'can', 'not', '.']","['PER', 'POS', 'NOT', 'CON', 'NIL', 'PER', 'POS', 'NOT', 'NIL']","['male.n.02', 'O', 'O', 'french.n.01', 'O', 'male.n.02', 'O', 'O', 'O']"
561, p00/d2718,speak,speak.v.03,"['ca', ""n't"", 'speak', 'Spanish', 'either']","['can', 'not', 'speak', 'can', 'not', 'speak', 'spanish', 'either']","['POS', 'NOT', 'EXS', 'POS', 'NOT', 'EXS', 'CON', 'ALT']","['O', 'O', 'speak.v.03', 'O', 'O', 'speak.v.03', 'spanish.n.01', 'O']"
562, p00/d2718,Spanish,spanish.n.01,"[""n't"", 'speak', 'Spanish', 'either', '.']","['not', 'speak', '.', 'not', 'speak', 'spanish', 'either', '.']","['NOT', 'EXS', 'NIL', 'NOT', 'EXS', 'CON', 'ALT', 'NIL']","['O', 'speak.v.03', 'O', 'O', 'speak.v.03', 'spanish.n.01', 'O', 'O']"
563, p00/d2296,He,male.n.02,"['He', 'needed', 'money']","['male', 'need', 'money']","['PRO', 'EPS', 'CON']","['male.n.02', 'need.v.03', 'money.n.01']"
564, p00/d2296,needed,need.v.03,"['He', 'needed', 'money', '.']","['male', 'need', 'money', '.']","['PRO', 'EPS', 'CON', 'NIL']","['male.n.02', 'need.v.03', 'money.n.01', 'O']"
565, p00/d2296,money,money.n.01,"['He', 'needed', 'money', '.']","['male', 'need', 'money', '.']","['PRO', 'EPS', 'CON', 'NIL']","['male.n.02', 'need.v.03', 'money.n.01', 'O']"
566, p20/d3007,made,make.v.06,"['I', 'made', 'this', 'chair']","['speaker', 'make', 'this', 'chair']","['PRO', 'EPS', 'PRX', 'CON']","['O', 'make.v.06', 'O', 'chair.n.01']"
567, p20/d3007,chair,chair.n.01,"['made', 'this', 'chair', '.']","['make', 'this', 'chair', '.']","['EPS', 'PRX', 'CON', 'NIL']","['make.v.06', 'O', 'chair.n.01', 'O']"
568, p00/d2842,Speak,speak.v.01,"['Speak', 'clear', '.']","['speak', 'clear', '.']","['EXS', 'IST', 'NIL']","['speak.v.01', 'clear.a.09', 'O']"
569, p00/d2842,clear,clear.a.09,"['Speak', 'clear', '.']","['speak', 'clear', '.']","['EXS', 'IST', 'NIL']","['speak.v.01', 'clear.a.09', 'O']"
570, p00/d2300,Tom,male.n.02,"['Tom', 'is', 'manipulative']","['tom', 'be', 'manipulative']","['PER', 'NOW', 'IST']","['male.n.02', 'O', 'manipulative.a.01']"
571, p00/d2300,manipulative,manipulative.a.01,"['Tom', 'is', 'manipulative', '.']","['tom', 'be', 'manipulative', '.']","['PER', 'NOW', 'IST', 'NIL']","['male.n.02', 'O', 'manipulative.a.01', 'O']"
572, p30/d1640,He,male.n.02,"['He', 'dreams', 'that']","['male', 'dream', 'that']","['PRO', 'ENS', 'SUB']","['male.n.02', 'dream.v.01', 'O']"
573, p30/d1640,dreams,dream.v.01,"['He', 'dreams', 'that', 'every']","['male', 'dream', 'that', 'every']","['PRO', 'ENS', 'SUB', 'AND']","['male.n.02', 'dream.v.01', 'O', 'O']"
574, p30/d1640,body,person.n.01,"['that', 'every', 'body', 'in', 'China']","['that', 'every', 'person', 'in', 'china']","['SUB', 'AND', 'CON', 'REL', 'GPE']","['O', 'O', 'person.n.01', 'O', 'country.n.02']"
575, p30/d1640,China,country.n.02,"['body', 'in', 'China', 'speaks', 'Esperanto']","['person', 'in', 'china', 'speak', 'esperanto']","['CON', 'REL', 'GPE', 'ENS', 'CON']","['person.n.01', 'O', 'country.n.02', 'speak.v.03', 'esperanto.n.01']"
576, p30/d1640,speaks,speak.v.03,"['in', 'China', 'speaks', 'Esperanto', '.']","['in', 'china', 'speak', 'esperanto', '.']","['REL', 'GPE', 'ENS', 'CON', 'NIL']","['O', 'country.n.02', 'speak.v.03', 'esperanto.n.01', 'O']"
577, p30/d1640,Esperanto,esperanto.n.01,"['China', 'speaks', 'Esperanto', '.']","['china', 'speak', 'esperanto', '.']","['GPE', 'ENS', 'CON', 'NIL']","['country.n.02', 'speak.v.03', 'esperanto.n.01', 'O']"
578, p00/d1877,very,very.r.01,"['I', 'was', 'very', 'good', '.']","['speaker', 'be', 'very', 'good', '.']","['PRO', 'PST', 'INT', 'DEG', 'NIL']","['O', 'O', 'very.r.01', 'good.a.01', 'O']"
579, p00/d1877,good,good.a.01,"['was', 'very', 'good', '.']","['be', 'very', 'good', '.']","['PST', 'INT', 'DEG', 'NIL']","['O', 'very.r.01', 'good.a.01', 'O']"
580, p00/d2750,man,man.n.03,"['Many', 'a', 'man', 'has', 'predicted']","['+', 'a', 'man', 'have', 'predict']","['QUV', 'DIS', 'CON', 'NOW', 'EXT']","['O', 'O', 'man.n.03', 'O', 'predict.v.01']"
581, p00/d2750,predicted,predict.v.01,"['man', 'has', 'predicted', 'it', '.']","['man', 'have', 'predict', 'entity', '.']","['CON', 'NOW', 'EXT', 'PRO', 'NIL']","['man.n.03', 'O', 'predict.v.01', 'entity.n.01', 'O']"
582, p00/d2750,it,entity.n.01,"['has', 'predicted', 'it', '.']","['have', 'predict', 'entity', '.']","['NOW', 'EXT', 'PRO', 'NIL']","['O', 'predict.v.01', 'entity.n.01', 'O']"
583, p00/d1598,She,female.n.02,"['She', 'ate', 'her']","['female', 'eat', 'female']","['PRO', 'EPS', 'HAS']","['female.n.02', 'eat.v.01', 'female.n.02']"
584, p00/d1598,ate,eat.v.01,"['She', 'ate', 'her', 'dinner']","['female', 'eat', 'female', 'dinner']","['PRO', 'EPS', 'HAS', 'CON']","['female.n.02', 'eat.v.01', 'female.n.02', 'dinner.n.01']"
585, p00/d1598,her,female.n.02,"['She', 'ate', 'her', 'dinner', '.']","['female', 'eat', 'female', 'dinner', '.']","['PRO', 'EPS', 'HAS', 'CON', 'NIL']","['female.n.02', 'eat.v.01', 'female.n.02', 'dinner.n.01', 'O']"
586, p00/d1598,dinner,dinner.n.01,"['ate', 'her', 'dinner', '.']","['eat', 'female', 'dinner', '.']","['EPS', 'HAS', 'CON', 'NIL']","['eat.v.01', 'female.n.02', 'dinner.n.01', 'O']"
587, p10/d2732,wanted,want.v.01,"['I', 'wanted', 'to', 'run']","['speaker', 'want', 'to', 'run~away']","['PRO', 'EPS', 'NIL', 'EXS']","['O', 'want.v.01', 'O', 'run_away.v.01']"
588, p10/d2732,run,run_away.v.01,"['wanted', 'to', 'run', 'away', 'with']","['want', 'to', 'run~away', 'away', 'with']","['EPS', 'NIL', 'EXS', 'REL', 'REL']","['want.v.01', 'O', 'run_away.v.01', 'O', 'O']"
589, p10/d2732,Tom,male.n.02,"['away', 'with', 'Tom', '.']","['away', 'with', 'tom', '.']","['REL', 'REL', 'PER', 'NIL']","['O', 'O', 'male.n.02', 'O']"
590, p30/d0792,girl,girl.n.01,"['The', 'girl', 'was', 'afraid']","['the', 'girl', 'be', 'afraid']","['DEF', 'CON', 'PST', 'IST']","['O', 'girl.n.01', 'O', 'afraid.a.01']"
591, p30/d0792,afraid,afraid.a.01,"['girl', 'was', 'afraid', 'of', 'her']","['girl', 'be', 'afraid', 'of', 'female']","['CON', 'PST', 'IST', 'REL', 'HAS']","['girl.n.01', 'O', 'afraid.a.01', 'O', 'female.n.02']"
592, p30/d0792,her,female.n.02,"['afraid', 'of', 'her', 'own', 'shadow']","['afraid', 'of', 'female', 'own', 'shadow']","['IST', 'REL', 'HAS', 'EMP', 'CON']","['afraid.a.01', 'O', 'female.n.02', 'O', 'shadow.n.01']"
593, p30/d0792,shadow,shadow.n.01,"['her', 'own', 'shadow', '.']","['female', 'own', 'shadow', '.']","['HAS', 'EMP', 'CON', 'NIL']","['female.n.02', 'O', 'shadow.n.01', 'O']"
594, p10/d3357,She,female.n.02,"['She', 'cared', 'for']","['female', 'care', 'for']","['PRO', 'EPS', 'REL']","['female.n.02', 'care.v.02', 'O']"
595, p10/d3357,cared,care.v.02,"['She', 'cared', 'for', 'her']","['female', 'care', 'for', 'female']","['PRO', 'EPS', 'REL', 'HAS']","['female.n.02', 'care.v.02', 'O', 'female.n.02']"
596, p10/d3357,her,female.n.02,"['cared', 'for', 'her', 'sick', 'mother']","['care', 'for', 'female', 'sick', 'mother']","['EPS', 'REL', 'HAS', 'IST', 'ROL']","['care.v.02', 'O', 'female.n.02', 'sick.a.01', 'mother.n.01']"
597, p10/d3357,sick,sick.a.01,"['for', 'her', 'sick', 'mother', '.']","['for', 'female', 'sick', 'mother', '.']","['REL', 'HAS', 'IST', 'ROL', 'NIL']","['O', 'female.n.02', 'sick.a.01', 'mother.n.01', 'O']"
598, p10/d3357,mother,mother.n.01,"['her', 'sick', 'mother', '.']","['female', 'sick', 'mother', '.']","['HAS', 'IST', 'ROL', 'NIL']","['female.n.02', 'sick.a.01', 'mother.n.01', 'O']"
599, p00/d3022,saw,see.v.01,"['We', 'saw', 'the', 'monkey']","['speaker', 'see', 'the', 'monkey', 'the']","['PRO', 'EPS', 'DEF', 'CON', 'DEF']","['O', 'see.v.01', 'O', 'monkey.n.01', 'O']"
600, p00/d3022,monkey,monkey.n.01,"['saw', 'the', 'monkey', 'at', 'the']","['see', 'the', 'monkey', 'at', 'the']","['EPS', 'DEF', 'CON', 'REL', 'DEF']","['see.v.01', 'O', 'monkey.n.01', 'O', 'O']"
601, p00/d3022,zoo,zoo.n.01,"['at', 'the', 'zoo', '.']","['the', 'at', 'the', 'zoo', '.']","['DEF', 'REL', 'DEF', 'CON', 'NIL']","['O', 'O', 'O', 'zoo.n.01', 'O']"
602, p10/d0018,man,man.n.01,"['A', 'man', 'is', 'playing']","['a', 'man', 'be', 'play']","['DIS', 'CON', 'NOW', 'EXG']","['O', 'man.n.01', 'O', 'play.v.07']"
603, p10/d0018,playing,play.v.07,"['man', 'is', 'playing', 'flute']","['man', 'be', 'play', 'flute']","['CON', 'NOW', 'EXG', 'CON']","['man.n.01', 'O', 'play.v.07', 'flute.n.01']"
604, p00/d0055,person,person.n.01,"['is', 'no', 'person', 'cutting', 'some']","['be', 'no', 'person', 'cut', 'some']","['NOW', 'NOT', 'CON', 'EXG', 'DIS']","['O', 'O', 'person.n.01', 'cut.v.01', 'O']"
605, p00/d0055,cutting,cut.v.01,"['no', 'person', 'cutting', 'some', 'ginger']","['no', 'person', 'cut', 'some', 'ginger']","['NOT', 'CON', 'EXG', 'DIS', 'CON']","['O', 'person.n.01', 'cut.v.01', 'O', 'ginger.n.02']"
606, p30/d1915,Tom,male.n.02,"['Tom', 'sold', 'his']","['tom', 'sell', 'male']","['PER', 'EPS', 'HAS']","['male.n.02', 'sell.v.01', 'male.n.02']"
607, p30/d1915,sold,sell.v.01,"['Tom', 'sold', 'his', 'house']","['tom', 'sell', 'male', 'house']","['PER', 'EPS', 'HAS', 'CON']","['male.n.02', 'sell.v.01', 'male.n.02', 'house.n.01']"
608, p30/d1915,his,male.n.02,"['Tom', 'sold', 'his', 'house', '.']","['tom', 'sell', 'male', 'house', '.']","['PER', 'EPS', 'HAS', 'CON', 'NIL']","['male.n.02', 'sell.v.01', 'male.n.02', 'house.n.01', 'O']"
609, p30/d1915,house,house.n.01,"['sold', 'his', 'house', '.']","['sell', 'male', 'house', '.']","['EPS', 'HAS', 'CON', 'NIL']","['sell.v.01', 'male.n.02', 'house.n.01', 'O']"
610, p00/d0858,remember,remember.v.01,"['do', ""n't"", 'remember', 'your', 'name']","['do', 'not', 'remember', 'hearer', 'name']","['NOW', 'NOT', 'EXS', 'HAS', 'CON']","['O', 'O', 'remember.v.01', 'O', 'name.n.01']"
611, p00/d0858,name,name.n.01,"['remember', 'your', 'name', '.']","['remember', 'hearer', 'name', '.']","['EXS', 'HAS', 'CON', 'NIL']","['remember.v.01', 'O', 'name.n.01', 'O']"
612, p00/d2743,decapitated,decapitated.a.01,"['A', 'decapitated', 'body', 'was']","['a', 'decapitated', 'person', 'be']","['DIS', 'IST', 'CON', 'EPS']","['O', 'decapitated.a.01', 'person.n.02', 'be.v.03']"
613, p00/d2743,body,person.n.02,"['A', 'decapitated', 'body', 'was', 'on']","['a', 'decapitated', 'person', 'be', 'on']","['DIS', 'IST', 'CON', 'EPS', 'REL']","['O', 'decapitated.a.01', 'person.n.02', 'be.v.03', 'O']"
614, p00/d2743,was,be.v.03,"['decapitated', 'body', 'was', 'on', 'the']","['decapitated', 'person', 'be', 'on', 'the']","['IST', 'CON', 'EPS', 'REL', 'DEF']","['decapitated.a.01', 'person.n.02', 'be.v.03', 'O', 'O']"
615, p00/d2743,coroner,coroner.n.01,"['on', 'the', 'coroner', ""'s"", 'table']","['on', 'the', 'coroner', ""'s"", 'table']","['REL', 'DEF', 'ROL', 'HAS', 'CON']","['O', 'O', 'coroner.n.01', 'O', 'table.n.02']"
616, p00/d2743,table,table.n.02,"['coroner', ""'s"", 'table', '.']","['coroner', ""'s"", 'table', '.']","['ROL', 'HAS', 'CON', 'NIL']","['coroner.n.01', 'O', 'table.n.02', 'O']"
617, p00/d3546,monkey,monkey.n.01,"['The', 'monkey', 'escaped', 'from']","['the', 'monkey', 'escape', 'from']","['DEF', 'CON', 'EPS', 'REL']","['O', 'monkey.n.01', 'escape.v.01', 'O']"
618, p00/d3546,escaped,escape.v.01,"['The', 'monkey', 'escaped', 'from', 'its']","['the', 'monkey', 'escape', 'from', 'entity']","['DEF', 'CON', 'EPS', 'REL', 'HAS']","['O', 'monkey.n.01', 'escape.v.01', 'O', 'entity.n.01']"
619, p00/d3546,its,entity.n.01,"['escaped', 'from', 'its', 'cage', '.']","['escape', 'from', 'entity', 'cage', '.']","['EPS', 'REL', 'HAS', 'CON', 'NIL']","['escape.v.01', 'O', 'entity.n.01', 'cage.n.01', 'O']"
620, p00/d3546,cage,cage.n.01,"['from', 'its', 'cage', '.']","['from', 'entity', 'cage', '.']","['REL', 'HAS', 'CON', 'NIL']","['O', 'entity.n.01', 'cage.n.01', 'O']"
621, p10/d1983,Who,person.n.01,"['Who', 'did', 'William~Wallace']","['person', 'do', 'william~wallace']","['QUE', 'PST', 'PER']","['person.n.01', 'O', 'male.n.02']"
622, p10/d1983,William~Wallace,male.n.02,"['Who', 'did', 'William~Wallace', 'defeat', '?']","['person', 'do', 'william~wallace', 'defeat', '?']","['QUE', 'PST', 'PER', 'EXS', 'QUE']","['person.n.01', 'O', 'male.n.02', 'defeat.v.01', 'O']"
623, p10/d1983,defeat,defeat.v.01,"['did', 'William~Wallace', 'defeat', '?']","['do', 'william~wallace', 'defeat', '?']","['PST', 'PER', 'EXS', 'QUE']","['O', 'male.n.02', 'defeat.v.01', 'O']"
624, p20/d2922,button,button.v.02,"['have', 'to', 'button', 'my', 'jacket']","['have', 'to', 'button', 'speaker', 'jacket']","['NEC', 'NIL', 'EXS', 'HAS', 'CON']","['O', 'O', 'button.v.02', 'O', 'jacket.n.01']"
625, p20/d2922,jacket,jacket.n.01,"['button', 'my', 'jacket', '.']","['button', 'speaker', 'jacket', '.']","['EXS', 'HAS', 'CON', 'NIL']","['button.v.02', 'O', 'jacket.n.01', 'O']"
626, p10/d3417,found,find.v.03,"['We', 'found', 'one', '.']","['speaker', 'find', 'one', '.']","['PRO', 'EPS', 'CON', 'NIL']","['O', 'find.v.03', 'one.n.02', 'O']"
627, p10/d3417,one,one.n.02,"['We', 'found', 'one', '.']","['speaker', 'find', 'one', '.']","['PRO', 'EPS', 'CON', 'NIL']","['O', 'find.v.03', 'one.n.02', 'O']"
628, p00/d2080,Everybody,person.n.01,"['Everybody', 'hates', 'me']","['person', 'hate', 'speaker']","['AND', 'ENS', 'PRO']","['person.n.01', 'hate.v.01', 'O']"
629, p00/d2080,hates,hate.v.01,"['Everybody', 'hates', 'me', '.']","['person', 'hate', 'speaker', '.']","['AND', 'ENS', 'PRO', 'NIL']","['person.n.01', 'hate.v.01', 'O', 'O']"
630, p20/d2572,father,father.n.01,"['My', 'father', 'is', 'like']","['speaker', 'father', 'be', 'like']","['HAS', 'ROL', 'NOW', 'IST']","['O', 'father.n.01', 'O', 'like.a.01']"
631, p20/d2572,like,like.a.01,"['father', 'is', 'like', 'a', 'friend']","['father', 'be', 'like', 'a', 'friend']","['ROL', 'NOW', 'IST', 'DIS', 'ROL']","['father.n.01', 'O', 'like.a.01', 'O', 'friend.n.01']"
632, p20/d2572,friend,friend.n.01,"['like', 'a', 'friend', 'to', 'me']","['like', 'a', 'friend', 'to', 'speaker']","['IST', 'DIS', 'ROL', 'REL', 'PRO']","['like.a.01', 'O', 'friend.n.01', 'O', 'O']"
633, p00/d2556,talk,talk.v.02,"['ca', ""n't"", 'talk', 'now', '.']","['can', 'not', 'talk', 'now', '.']","['POS', 'NOT', 'EXS', 'NOW', 'NIL']","['O', 'O', 'talk.v.02', 'O', 'O']"
634, p10/d2626,ill,ill.a.01,"['I', 'was', 'ill', '.']","['speaker', 'be', 'ill', '.']","['PRO', 'PST', 'IST', 'NIL']","['O', 'O', 'ill.a.01', 'O']"
635, p00/d1923,It,entity.n.01,"['It', ""'s"", 'clean']","['entity', 'be', 'clean']","['PRO', 'NOW', 'IST']","['entity.n.01', 'O', 'clean.a.02']"
636, p00/d1923,clean,clean.a.02,"['It', ""'s"", 'clean', '.']","['entity', 'be', 'clean', '.']","['PRO', 'NOW', 'IST', 'NIL']","['entity.n.01', 'O', 'clean.a.02', 'O']"
637, p20/d1847,love,love.v.03,"['I', 'love', 'Hitomi', '.']","['speaker', 'love', 'hitomi', '.']","['PRO', 'ENS', 'PER', 'NIL']","['O', 'love.v.03', 'female.n.02', 'O']"
638, p20/d1847,Hitomi,female.n.02,"['I', 'love', 'Hitomi', '.']","['speaker', 'love', 'hitomi', '.']","['PRO', 'ENS', 'PER', 'NIL']","['O', 'love.v.03', 'female.n.02', 'O']"
639, p10/d3099,Mr.,mr.n.01,"['Mr.', 'Ford', 'is']","['mr', 'ford', 'be']","['ROL', 'PER', 'NOW']","['mr.n.01', 'male.n.02', 'O']"
640, p10/d3099,Ford,male.n.02,"['Mr.', 'Ford', 'is', 'all~right']","['mr', 'ford', 'be', 'all~right']","['ROL', 'PER', 'NOW', 'IST']","['mr.n.01', 'male.n.02', 'O', 'all_right.a.01']"
641, p10/d3099,all~right,all_right.a.01,"['Ford', 'is', 'all~right', 'now', '.']","['ford', 'be', 'all~right', 'now', '.']","['PER', 'NOW', 'IST', 'NOW', 'NIL']","['male.n.02', 'O', 'all_right.a.01', 'O', 'O']"
642, p00/d0826,uncle,uncle.n.01,"['My', 'uncle', 'bought', 'me']","['speaker', 'uncle', 'buy', 'speaker']","['HAS', 'ROL', 'EPS', 'PRO']","['O', 'uncle.n.01', 'buy.v.01', 'O']"
643, p00/d0826,bought,buy.v.01,"['My', 'uncle', 'bought', 'me', 'this']","['speaker', 'uncle', 'buy', 'speaker', 'entity']","['HAS', 'ROL', 'EPS', 'PRO', 'PRX']","['O', 'uncle.n.01', 'buy.v.01', 'O', 'entity.n.01']"
644, p00/d0826,this,entity.n.01,"['bought', 'me', 'this', 'book', '.']","['buy', 'speaker', 'entity', 'book', '.']","['EPS', 'PRO', 'PRX', 'CON', 'NIL']","['buy.v.01', 'O', 'entity.n.01', 'book.n.02', 'O']"
645, p00/d0826,book,book.n.02,"['me', 'this', 'book', '.']","['speaker', 'entity', 'book', '.']","['PRO', 'PRX', 'CON', 'NIL']","['O', 'entity.n.01', 'book.n.02', 'O']"
646, p30/d2439,Forgive,forgive.v.01,"['Forgive', 'me', '!']","['forgive', 'speaker', '!']","['EXS', 'PRO', 'EMP']","['forgive.v.01', 'O', 'O']"
647, p10/d1684,She,female.n.02,"['She', 'handed', 'him']","['female', 'hand', 'male', 'male']","['PRO', 'EPS', 'PRO', 'PRO']","['female.n.02', 'hand.v.01', 'male.n.02', 'male.n.02']"
648, p10/d1684,handed,hand.v.01,"['She', 'handed', 'him', 'the']","['female', 'hand', 'male', 'the', 'male']","['PRO', 'EPS', 'PRO', 'DEF', 'PRO']","['female.n.02', 'hand.v.01', 'male.n.02', 'O', 'male.n.02']"
649, p10/d1684,him,male.n.02,"['She', 'handed', 'him', 'the', 'money']","['female', 'hand', 'male', 'the', 'money', 'male']","['PRO', 'EPS', 'PRO', 'DEF', 'CON', 'PRO']","['female.n.02', 'hand.v.01', 'male.n.02', 'O', 'money.n.01', 'male.n.02']"
650, p10/d1684,money,money.n.01,"['him', 'the', 'money', 'that', 'she']","['male', 'the', 'money', 'that', 'female', 'male']","['PRO', 'DEF', 'CON', 'AND', 'PRO', 'PRO']","['male.n.02', 'O', 'money.n.01', 'O', 'female.n.02', 'male.n.02']"
651, p10/d1684,she,female.n.02,"['money', 'that', 'she', 'owed', 'him']","['male', 'money', 'that', 'female', 'owe', 'male']","['PRO', 'CON', 'AND', 'PRO', 'EPS', 'PRO']","['male.n.02', 'money.n.01', 'O', 'female.n.02', 'owe.v.01', 'male.n.02']"
652, p10/d1684,owed,owe.v.01,"['that', 'she', 'owed', 'him', '.']","['male', 'that', 'female', 'owe', 'male', '.']","['PRO', 'AND', 'PRO', 'EPS', 'PRO', 'NIL']","['male.n.02', 'O', 'female.n.02', 'owe.v.01', 'male.n.02', 'O']"
653, p10/d1684,him,male.n.02,"['she', 'owed', 'him', '.']","['male', 'female', 'owe', 'male', '.']","['PRO', 'PRO', 'EPS', 'PRO', 'NIL']","['male.n.02', 'female.n.02', 'owe.v.01', 'male.n.02', 'O']"
654, p00/d2629,He,male.n.02,"['He', ""'s"", 'the']","['male', 'be', 'the']","['PRO', 'ENS', 'DEF']","['male.n.02', 'be.v.02', 'O']"
655, p00/d2629,'s,be.v.02,"['He', ""'s"", 'the', 'oldest']","['male', 'be', 'the', 'old']","['PRO', 'ENS', 'DEF', 'TOP']","['male.n.02', 'be.v.02', 'O', 'old.a.01']"
656, p00/d2629,oldest,old.a.01,"[""'s"", 'the', 'oldest', 'son', '.']","['be', 'the', 'old', 'son', '.']","['ENS', 'DEF', 'TOP', 'ROL', 'NIL']","['be.v.02', 'O', 'old.a.01', 'son.n.01', 'O']"
657, p00/d2629,son,son.n.01,"['the', 'oldest', 'son', '.']","['the', 'old', 'son', '.']","['DEF', 'TOP', 'ROL', 'NIL']","['O', 'old.a.01', 'son.n.01', 'O']"
658, p20/d2518,barred,bar.v.02,"['We', 'barred', 'the', 'door']","['speaker', 'bar', 'the', 'door']","['PRO', 'EPS', 'DEF', 'CON']","['O', 'bar.v.02', 'O', 'door.n.01']"
659, p20/d2518,door,door.n.01,"['barred', 'the', 'door', 'and', 'locked']","['bar', 'the', 'door', 'and', 'lock']","['EPS', 'DEF', 'CON', 'COO', 'EPS']","['bar.v.02', 'O', 'door.n.01', 'O', 'lock.v.01']"
660, p20/d2518,locked,lock.v.01,"['door', 'and', 'locked', 'it', '.']","['door', 'and', 'lock', 'entity', '.']","['CON', 'COO', 'EPS', 'PRO', 'NIL']","['door.n.01', 'O', 'lock.v.01', 'entity.n.01', 'O']"
661, p20/d2518,it,entity.n.01,"['and', 'locked', 'it', '.']","['and', 'lock', 'entity', '.']","['COO', 'EPS', 'PRO', 'NIL']","['O', 'lock.v.01', 'entity.n.01', 'O']"
662, p20/d1988,secret,secret.n.01,"['The', 'secret', 'leaked', 'out']","['the', 'secret', 'leak~out', 'out']","['DEF', 'CON', 'EPS', 'REL']","['O', 'secret.n.01', 'leak_out.v.01', 'O']"
663, p20/d1988,leaked,leak_out.v.01,"['The', 'secret', 'leaked', 'out', '.']","['the', 'secret', 'leak~out', 'out', '.']","['DEF', 'CON', 'EPS', 'REL', 'NIL']","['O', 'secret.n.01', 'leak_out.v.01', 'O', 'O']"
664, p20/d1938,Abrams,male.n.02,"['Abrams', 'handed', 'the']","['abrams', 'hand', 'the']","['PER', 'EPS', 'DEF']","['male.n.02', 'hand.v.01', 'O']"
665, p20/d1938,handed,hand.v.01,"['Abrams', 'handed', 'the', 'cigarette']","['abrams', 'hand', 'the', 'cigarette']","['PER', 'EPS', 'DEF', 'CON']","['male.n.02', 'hand.v.01', 'O', 'cigarette.n.01']"
666, p20/d1938,cigarette,cigarette.n.01,"['handed', 'the', 'cigarette', 'to', 'Browne']","['hand', 'the', 'cigarette', 'to', 'browne']","['EPS', 'DEF', 'CON', 'REL', 'PER']","['hand.v.01', 'O', 'cigarette.n.01', 'O', 'male.n.02']"
667, p20/d1938,Browne,male.n.02,"['cigarette', 'to', 'Browne', '.']","['cigarette', 'to', 'browne', '.']","['CON', 'REL', 'PER', 'NIL']","['cigarette.n.01', 'O', 'male.n.02', 'O']"
668, p20/d0866,He,male.n.02,"['He', 'needs', 'an']","['male', 'need', 'an']","['PRO', 'ENS', 'DIS']","['male.n.02', 'need.v.02', 'O']"
669, p20/d0866,needs,need.v.02,"['He', 'needs', 'an', 'umbrella']","['male', 'need', 'an', 'umbrella']","['PRO', 'ENS', 'DIS', 'CON']","['male.n.02', 'need.v.02', 'O', 'umbrella.n.01']"
670, p20/d0866,umbrella,umbrella.n.01,"['needs', 'an', 'umbrella', '.']","['need', 'an', 'umbrella', '.']","['ENS', 'DIS', 'CON', 'NIL']","['need.v.02', 'O', 'umbrella.n.01', 'O']"
